id;title;price;image;image_content_type
b57f76a4-9fde-4a24-984e-389fd24d4d46;woot jiggle;19656.63;../fake-data/blob/hipster.png;image/png
8487881d-4211-4611-bd40-c174aaf3fe80;supposing resolve;264.93;../fake-data/blob/hipster.png;image/png
6337cbe2-99e9-48c4-9c3b-5c25fffcec35;lest helpfully yowza;28411.24;../fake-data/blob/hipster.png;image/png
ca96788f-8082-4f45-8af7-100f3d1a402b;spirited;24445.91;../fake-data/blob/hipster.png;image/png
bb36602e-1f07-4cca-81a5-d886e9403482;amidst form;20245.14;../fake-data/blob/hipster.png;image/png
0c8f2a6c-2204-4fc8-b5ea-1f64ef38057a;goodwill beep likewise;24874.76;../fake-data/blob/hipster.png;image/png
0c3fabb5-da51-4e3f-b62e-ef4da6741427;even grandpa react;31579.76;../fake-data/blob/hipster.png;image/png
27812730-1794-4028-b34e-0523f5f4fb17;expostulate;11521.75;../fake-data/blob/hipster.png;image/png
845bc5e0-e3ee-4d5f-a6ac-d57bc05766bc;ew disarm;31462.98;../fake-data/blob/hipster.png;image/png
06d244f8-43f2-4796-b5bb-e680a69e9993;inwardly unless slip;11823.39;../fake-data/blob/hipster.png;image/png
